"global_step","251221_A2C - train/policy_loss","251221_A2C - train/policy_loss__MIN","251221_A2C - train/policy_loss__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","-1.5291593074798584","-1.5291593074798584","-1.5291593074798584","0","0","0"
"1000","-0.5761844515800476","-0.5761844515800476","-0.5761844515800476","1","1","1"
"1500","-0.4007968008518219","-0.4007968008518219","-0.4007968008518219","2","2","2"
"2000","0.4359569549560547","0.4359569549560547","0.4359569549560547","3","3","3"
"2500","1.9352611303329468","1.9352611303329468","1.9352611303329468","4","4","4"
"3000","-9.432967185974121","-9.432967185974121","-9.432967185974121","5","5","5"
"3500","0.17953088879585266","0.17953088879585266","0.17953088879585266","6","6","6"
"4000","0.09454741328954697","0.09454741328954697","0.09454741328954697","7","7","7"
"4500","0.5461391806602478","0.5461391806602478","0.5461391806602478","8","8","8"
"5000","-0.6005081534385681","-0.6005081534385681","-0.6005081534385681","9","9","9"
"5500","-1.6614145040512085","-1.6614145040512085","-1.6614145040512085","10","10","10"
"6000","0.3825400769710541","0.3825400769710541","0.3825400769710541","11","11","11"
"6500","-0.7776168584823608","-0.7776168584823608","-0.7776168584823608","12","12","12"
"7000","-0.01283502858132124","-0.01283502858132124","-0.01283502858132124","13","13","13"
"7500","-0.6049472093582153","-0.6049472093582153","-0.6049472093582153","14","14","14"
"8000","2.711240530014038","2.711240530014038","2.711240530014038","15","15","15"
"8500","0.5180788040161133","0.5180788040161133","0.5180788040161133","16","16","16"
"9000","1.6908886432647705","1.6908886432647705","1.6908886432647705","17","17","17"
"9500","-0.8410062193870544","-0.8410062193870544","-0.8410062193870544","18","18","18"
"10000","-0.333127498626709","-0.333127498626709","-0.333127498626709","19","19","19"
"10500","-0.3280247747898102","-0.3280247747898102","-0.3280247747898102","20","20","20"
"11000","-0.515598475933075","-0.515598475933075","-0.515598475933075","21","21","21"
"11500","0.48986920714378357","0.48986920714378357","0.48986920714378357","22","22","22"
"12000","-0.6195223331451416","-0.6195223331451416","-0.6195223331451416","23","23","23"
"12500","2.4611308574676514","2.4611308574676514","2.4611308574676514","24","24","24"
"13000","-0.2945844233036041","-0.2945844233036041","-0.2945844233036041","25","25","25"
"13500","-5.780810832977295","-5.780810832977295","-5.780810832977295","26","26","26"
"14000","2.6523635387420654","2.6523635387420654","2.6523635387420654","27","27","27"
"14500","-0.6138190627098083","-0.6138190627098083","-0.6138190627098083","28","28","28"
"15000","-1.3503367900848389","-1.3503367900848389","-1.3503367900848389","29","29","29"
"15500","1.8780044317245483","1.8780044317245483","1.8780044317245483","30","30","30"
"16000","0.9705740809440613","0.9705740809440613","0.9705740809440613","31","31","31"
"16500","-2.2177350521087646","-2.2177350521087646","-2.2177350521087646","32","32","32"
"17000","-0.32885271310806274","-0.32885271310806274","-0.32885271310806274","33","33","33"
"17500","-1.0125226974487305","-1.0125226974487305","-1.0125226974487305","34","34","34"
"18000","5.9573187828063965","5.9573187828063965","5.9573187828063965","35","35","35"
"18500","-4.263589382171631","-4.263589382171631","-4.263589382171631","36","36","36"
"19000","0.9105731844902039","0.9105731844902039","0.9105731844902039","37","37","37"
"19500","0.5757635831832886","0.5757635831832886","0.5757635831832886","38","38","38"
"20000","0.5712864995002747","0.5712864995002747","0.5712864995002747","39","39","39"
"20500","0.24081210792064667","0.24081210792064667","0.24081210792064667","40","40","40"
"21000","-0.7895799875259399","-0.7895799875259399","-0.7895799875259399","41","41","41"
"21500","0.0210341215133667","0.0210341215133667","0.0210341215133667","42","42","42"
"22000","0.47691938281059265","0.47691938281059265","0.47691938281059265","43","43","43"
"22500","-2.0537612438201904","-2.0537612438201904","-2.0537612438201904","44","44","44"
"23000","-1.0773576498031616","-1.0773576498031616","-1.0773576498031616","45","45","45"
"23500","0.28576329350471497","0.28576329350471497","0.28576329350471497","46","46","46"
"24000","-0.8742769360542297","-0.8742769360542297","-0.8742769360542297","47","47","47"
"24500","0.07603594660758972","0.07603594660758972","0.07603594660758972","48","48","48"
"25000","-0.8107134103775024","-0.8107134103775024","-0.8107134103775024","49","49","49"
"25500","-0.31257134675979614","-0.31257134675979614","-0.31257134675979614","50","50","50"
"26000","1.8221008777618408","1.8221008777618408","1.8221008777618408","51","51","51"
"26500","-0.8347216844558716","-0.8347216844558716","-0.8347216844558716","52","52","52"
"27000","0.6597084403038025","0.6597084403038025","0.6597084403038025","53","53","53"
"27500","4.037690162658691","4.037690162658691","4.037690162658691","54","54","54"
"28000","5.950135231018066","5.950135231018066","5.950135231018066","55","55","55"
"28500","-1.6499031782150269","-1.6499031782150269","-1.6499031782150269","56","56","56"
"29000","-0.12568096816539764","-0.12568096816539764","-0.12568096816539764","57","57","57"
"29500","-0.09589453786611557","-0.09589453786611557","-0.09589453786611557","58","58","58"
